Ticker,Total Volume,Average Close
A,30631300,139.7763995361328
AA,177604700,36.01320007324219
AAA,162200,25.103240127563478
AAAU,96926100,23.073599853515624
AACG,677700,0.9555999994277954
AACI,926600,11.381440086364746
AACIU,1400,11.018400230407714
AACT,5698100,10.602999877929687
AADI,4704100,1.965600004196167
AADR,25100,61.20280029296875
AAGR,5403000,0.3633200001716614
AAL,839530600,13.881999893188476
AAMC,234100,3.301800003051758
AAME,150400,2.074000005722046
AAN,5344100,7.208800010681152
AAOI,41045700,11.6396000289917
AAON,14326300,88.43560028076172
AAP,35371800,76.61559967041016
AAPB,4665800,17.176800003051756
AAPD,6435200,22.87439987182617
AAPL,1553539100,170.28039978027343
AAPR,2484200,24.518880004882813
AAPU,13017100,22.131600036621094
AAPX,758802,20.01837905248006
AAPY,25500,23.478080139160156
AAT,6278500,21.137600173950194
AAXJ,11759700,67.70880004882812
AB,8465500,33.56880020141602
ABAT,16230800,1.530600004196167
ABBV,139453700,167.1039990234375
ABCB,7821800,46.87439971923828
ABCL,30683400,4.110400047302246
ABCS,64700,26.077000045776366
ABEO,23681300,6.201200037002564
ABEQ,166800,29.81200004577637
ABEV,318408300,2.3580000019073486
ABG,4244300,219.0771990966797
ABIO,89175900,3.176800022125244
ABL,829700,11.922399978637696
ABLLL,68200,25.439839935302736
ABLV,3010300,1.8172000074386596
ABM,13286200,44.22799987792969
ABNB,80033200,159.99320007324218
ABOS,5708500,3.509200038909912
ABR,91026700,12.73439998626709
ABSI,29720100,5.240199985504151
ABT,127743100,108.60919891357422
ABTS,3449800,0.7329599952697754
ABUS,46103400,2.8176000118255615
ABVC,35926800,1.218799991607666
ABVX,1250500,15.072999954223633
AC,76400,32.36452018737793
ACA,6786100,79.77559997558593
ACAB,31400,10.75736011505127
ACABU,0,11.0
ACAC,156800,11.207199935913087
ACACU,9400,11.492000122070312
ACAD,35589300,17.29839973449707
ACB,358139400,6.626599998474121
ACBA,21100,12.13300006866455
ACBAU,200,11.961600036621094
ACCD,18368700,8.771999969482422
ACCO,14399600,5.032000045776368
ACDC,24388400,8.126199989318847
ACEL,5833000,11.358000030517578
ACES,2780100,27.582399826049805
ACET,31697400,2.0052000093460083
ACGL,42271100,92.47120056152343
ACGLN,742100,19.85879997253418
ACGLO,379200,22.910560150146484
ACHC,17498800,72.90920043945313
ACHL,8179900,0.8543200039863587
ACHR,92135200,4.062000064849854
ACHV,2003800,4.498400020599365
ACI,66720700,20.582799758911133
ACIC,4893100,10.750400009155273
ACIO,5874300,35.33648010253906
ACIU,5520500,2.550000009536743
ACIW,15423700,32.86359977722168
ACLS,13813400,103.85319946289063
ACLX,11541800,56.44440017700195
ACM,14346600,94.72080017089844
ACMR,30971400,28.301800079345703
ACN,74789300,317.95320068359376
ACNB,282200,33.600800323486325
ACNT,130300,10.358800010681152
ACON,130762600,0.31164000153541566
